scenario_id,scenario_name,minute,ship_x_nm,ship_y_nm,torpedo_x_nm,torpedo_y_nm,selected_objective_point_id,selected_objective_point_bearing,objective_point_x_nm,objective_point_y_nm,separation_nm,distance_to_objective_point_nm,ship_speed_knots,torpedo_speed_knots,countermeasure_active,countermeasure_timer,torpedo_lost_contact_timer,result,message
1,Scenario Data - OPERATION TRIDENT,0,20.0,40.0,0.0,0.0,1,0.0,20.0,140.0,44.72,100.0,20.0,60.0,N,0,0,RUNNING,Minute 0: Simulation started. Best objective point selected: Zone 1 at bearing 0.0°.
1,Scenario Data - OPERATION TRIDENT,1,20.0,40.33,0.44,0.9,1,0.0,20.0,140.0,44.02,99.67,20.0,60.0,N,0,0,RUNNING,Minute 1: Separation: 44.02 NM.
1,Scenario Data - OPERATION TRIDENT,2,20.0,40.67,0.89,1.79,1,0.0,20.0,140.0,43.32,99.33,20.0,60.0,N,0,0,RUNNING,Minute 2: Separation: 43.32 NM.
1,Scenario Data - OPERATION TRIDENT,3,20.0,41.0,1.32,2.69,1,0.0,20.0,140.0,42.62,99.0,20.0,60.0,N,0,0,RUNNING,Minute 3: Separation: 42.62 NM.
1,Scenario Data - OPERATION TRIDENT,4,20.0,41.33,1.76,3.59,1,0.0,20.0,140.0,41.92,98.67,20.0,60.0,N,0,0,RUNNING,Minute 4: Separation: 41.92 NM.
1,Scenario Data - OPERATION TRIDENT,5,20.0,41.67,2.19,4.49,1,0.0,20.0,140.0,41.22,98.33,20.0,60.0,N,0,0,RUNNING,Minute 5: Separation: 41.22 NM.
1,Scenario Data - OPERATION TRIDENT,6,20.0,42.0,2.62,5.4,1,0.0,20.0,140.0,40.52,98.0,20.0,60.0,N,0,0,RUNNING,Minute 6: Separation: 40.52 NM.
1,Scenario Data - OPERATION TRIDENT,7,20.0,42.33,3.05,6.3,1,0.0,20.0,140.0,39.82,97.67,20.0,60.0,N,0,0,RUNNING,Minute 7: Separation: 39.82 NM.
1,Scenario Data - OPERATION TRIDENT,8,20.0,42.67,3.47,7.21,1,0.0,20.0,140.0,39.12,97.33,20.0,60.0,N,0,0,RUNNING,Minute 8: Separation: 39.12 NM.
1,Scenario Data - OPERATION TRIDENT,9,20.0,43.0,3.89,8.12,1,0.0,20.0,140.0,38.42,97.0,20.0,60.0,N,0,0,RUNNING,Minute 9: Separation: 38.42 NM.
1,Scenario Data - OPERATION TRIDENT,10,20.0,43.33,4.3,9.03,1,0.0,20.0,140.0,37.73,96.67,20.0,60.0,N,0,0,RUNNING,Minute 10: Separation: 37.73 NM.
1,Scenario Data - OPERATION TRIDENT,11,20.0,43.67,4.72,9.94,1,0.0,20.0,140.0,37.03,96.33,20.0,60.0,N,0,0,RUNNING,Minute 11: Separation: 37.03 NM.
1,Scenario Data - OPERATION TRIDENT,12,20.0,44.0,5.13,10.85,1,0.0,20.0,140.0,36.33,96.0,20.0,60.0,N,0,0,RUNNING,Minute 12: Separation: 36.33 NM.
1,Scenario Data - OPERATION TRIDENT,13,20.0,44.33,5.53,11.76,1,0.0,20.0,140.0,35.64,95.67,20.0,60.0,N,0,0,RUNNING,Minute 13: Separation: 35.64 NM.
1,Scenario Data - OPERATION TRIDENT,14,20.0,44.67,5.93,12.68,1,0.0,20.0,140.0,34.94,95.33,20.0,60.0,N,0,0,RUNNING,Minute 14: Separation: 34.94 NM.
1,Scenario Data - OPERATION TRIDENT,15,20.0,45.0,6.33,13.6,1,0.0,20.0,140.0,34.25,95.0,20.0,60.0,N,0,0,RUNNING,Minute 15: Separation: 34.25 NM.
1,Scenario Data - OPERATION TRIDENT,16,20.0,45.33,6.73,14.51,1,0.0,20.0,140.0,33.56,94.67,20.0,60.0,N,0,0,RUNNING,Minute 16: Separation: 33.56 NM.
1,Scenario Data - OPERATION TRIDENT,17,20.0,45.67,7.12,15.43,1,0.0,20.0,140.0,32.86,94.33,20.0,60.0,N,0,0,RUNNING,Minute 17: Separation: 32.86 NM.
1,Scenario Data - OPERATION TRIDENT,18,20.0,46.0,7.51,16.36,1,0.0,20.0,140.0,32.17,94.0,20.0,60.0,N,0,0,RUNNING,Minute 18: Separation: 32.17 NM.
1,Scenario Data - OPERATION TRIDENT,19,20.0,46.33,7.89,17.28,1,0.0,20.0,140.0,31.48,93.67,20.0,60.0,N,0,0,RUNNING,Minute 19: Separation: 31.48 NM.
1,Scenario Data - OPERATION TRIDENT,20,20.0,46.67,8.27,18.2,1,0.0,20.0,140.0,30.78,93.33,20.0,60.0,N,0,0,RUNNING,Minute 20: Separation: 30.78 NM.
1,Scenario Data - OPERATION TRIDENT,21,20.0,47.0,8.65,19.13,1,0.0,20.0,140.0,30.09,93.0,20.0,60.0,N,0,0,RUNNING,Minute 21: Separation: 30.09 NM.
1,Scenario Data - OPERATION TRIDENT,22,20.0,47.33,9.02,20.06,1,0.0,20.0,140.0,29.4,92.67,20.0,60.0,N,0,0,RUNNING,Minute 22: Separation: 29.4 NM.
1,Scenario Data - OPERATION TRIDENT,23,20.0,47.67,9.39,20.99,1,0.0,20.0,140.0,28.71,92.33,20.0,60.0,N,0,0,RUNNING,Minute 23: Separation: 28.71 NM.
1,Scenario Data - OPERATION TRIDENT,24,20.0,48.0,9.76,21.92,1,0.0,20.0,140.0,28.02,92.0,20.0,60.0,N,0,0,RUNNING,Minute 24: Separation: 28.02 NM.
1,Scenario Data - OPERATION TRIDENT,25,20.0,48.33,10.12,22.85,1,0.0,20.0,140.0,27.33,91.67,20.0,60.0,N,0,0,RUNNING,Minute 25: Separation: 27.33 NM.
