scenario_id,scenario_name,minute,ship_x_nm,ship_y_nm,torpedo_x_nm,torpedo_y_nm,selected_objective_point_id,selected_objective_point_bearing,objective_point_x_nm,objective_point_y_nm,separation_nm,distance_to_objective_point_nm,ship_speed_knots,torpedo_speed_knots,countermeasure_active,countermeasure_timer,torpedo_lost_contact_timer,result,message
3,Scenario Data - OPERATION TRIDENT,0,20.0,40.0,0.0,0.0,1,0.0,20.0,140.0,44.72,100.0,20.0,60.0,N,0,0,RUNNING,Minute 0: Simulation started. Best objective point selected: Zone 1 at bearing 0.0°.
3,Scenario Data - OPERATION TRIDENT,1,20.0,40.33,0.44,0.9,1,0.0,20.0,140.0,44.02,99.67,20.0,60.0,N,0,0,RUNNING,Minute 1: Separation: 44.02 NM.
3,Scenario Data - OPERATION TRIDENT,2,20.0,40.67,0.89,1.79,1,0.0,20.0,140.0,43.32,99.33,20.0,60.0,N,0,0,RUNNING,Minute 2: Separation: 43.32 NM.
3,Scenario Data - OPERATION TRIDENT,3,20.0,41.0,1.32,2.69,1,0.0,20.0,140.0,42.62,99.0,20.0,60.0,N,0,0,RUNNING,Minute 3: Separation: 42.62 NM.
3,Scenario Data - OPERATION TRIDENT,4,20.0,41.33,1.76,3.59,1,0.0,20.0,140.0,41.92,98.67,20.0,60.0,N,0,0,RUNNING,Minute 4: Separation: 41.92 NM.
3,Scenario Data - OPERATION TRIDENT,5,20.0,41.67,2.19,4.49,1,0.0,20.0,140.0,41.22,98.33,20.0,60.0,N,0,0,RUNNING,Minute 5: Separation: 41.22 NM.
3,Scenario Data - OPERATION TRIDENT,6,20.0,42.0,2.62,5.4,1,0.0,20.0,140.0,40.52,98.0,20.0,60.0,N,0,0,RUNNING,Minute 6: Separation: 40.52 NM.
3,Scenario Data - OPERATION TRIDENT,7,20.0,42.33,3.05,6.3,1,0.0,20.0,140.0,39.82,97.67,20.0,60.0,N,0,0,RUNNING,Minute 7: Separation: 39.82 NM.
3,Scenario Data - OPERATION TRIDENT,8,20.0,42.67,3.47,7.21,1,0.0,20.0,140.0,39.12,97.33,20.0,60.0,N,0,0,RUNNING,Minute 8: Separation: 39.12 NM.
3,Scenario Data - OPERATION TRIDENT,9,20.0,43.0,3.89,8.12,1,0.0,20.0,140.0,38.42,97.0,20.0,60.0,N,0,0,RUNNING,Minute 9: Separation: 38.42 NM.
3,Scenario Data - OPERATION TRIDENT,10,20.0,43.33,4.3,9.03,1,0.0,20.0,140.0,37.73,96.67,20.0,60.0,N,0,0,RUNNING,Minute 10: Separation: 37.73 NM.
3,Scenario Data - OPERATION TRIDENT,11,20.0,43.67,4.72,9.94,1,0.0,20.0,140.0,37.03,96.33,20.0,60.0,N,0,0,RUNNING,Minute 11: Separation: 37.03 NM.
3,Scenario Data - OPERATION TRIDENT,12,20.0,44.0,5.13,10.85,1,0.0,20.0,140.0,36.33,96.0,20.0,60.0,N,0,0,RUNNING,Minute 12: Separation: 36.33 NM.
3,Scenario Data - OPERATION TRIDENT,13,20.0,44.33,5.53,11.76,1,0.0,20.0,140.0,35.64,95.67,20.0,60.0,N,0,0,RUNNING,Minute 13: Separation: 35.64 NM.
3,Scenario Data - OPERATION TRIDENT,14,20.0,44.67,5.93,12.68,1,0.0,20.0,140.0,34.94,95.33,20.0,60.0,N,0,0,RUNNING,Minute 14: Separation: 34.94 NM.
3,Scenario Data - OPERATION TRIDENT,15,20.0,45.0,6.33,13.6,1,0.0,20.0,140.0,34.25,95.0,20.0,60.0,N,0,0,RUNNING,Minute 15: Separation: 34.25 NM.
3,Scenario Data - OPERATION TRIDENT,16,20.0,45.33,6.73,14.51,1,0.0,20.0,140.0,33.56,94.67,20.0,60.0,N,0,0,RUNNING,Minute 16: Separation: 33.56 NM.
3,Scenario Data - OPERATION TRIDENT,17,20.0,45.67,7.12,15.43,1,0.0,20.0,140.0,32.86,94.33,20.0,60.0,N,0,0,RUNNING,Minute 17: Separation: 32.86 NM.
3,Scenario Data - OPERATION TRIDENT,18,20.0,46.0,7.51,16.36,1,0.0,20.0,140.0,32.17,94.0,20.0,60.0,N,0,0,RUNNING,Minute 18: Separation: 32.17 NM.
3,Scenario Data - OPERATION TRIDENT,19,20.0,46.33,7.89,17.28,1,0.0,20.0,140.0,31.48,93.67,20.0,60.0,N,0,0,RUNNING,Minute 19: Separation: 31.48 NM.
3,Scenario Data - OPERATION TRIDENT,20,20.0,46.67,8.27,18.2,1,0.0,20.0,140.0,30.78,93.33,20.0,60.0,N,0,0,RUNNING,Minute 20: Separation: 30.78 NM.
3,Scenario Data - OPERATION TRIDENT,21,20.0,47.0,8.65,19.13,1,0.0,20.0,140.0,30.09,93.0,20.0,60.0,N,0,0,RUNNING,Minute 21: Separation: 30.09 NM.
3,Scenario Data - OPERATION TRIDENT,22,20.0,47.33,9.02,20.06,1,0.0,20.0,140.0,29.4,92.67,20.0,60.0,N,0,0,RUNNING,Minute 22: Separation: 29.4 NM.
3,Scenario Data - OPERATION TRIDENT,23,20.0,47.67,9.39,20.99,1,0.0,20.0,140.0,28.71,92.33,20.0,60.0,N,0,0,RUNNING,Minute 23: Separation: 28.71 NM.
3,Scenario Data - OPERATION TRIDENT,24,20.0,48.0,9.76,21.92,1,0.0,20.0,140.0,28.02,92.0,20.0,60.0,N,0,0,RUNNING,Minute 24: Separation: 28.02 NM.
3,Scenario Data - OPERATION TRIDENT,25,20.0,48.33,10.12,22.85,1,0.0,20.0,140.0,27.33,91.67,20.0,60.0,N,0,0,RUNNING,Minute 25: Separation: 27.33 NM.
3,Scenario Data - OPERATION TRIDENT,26,20.0,48.67,10.48,23.78,1,0.0,20.0,140.0,26.64,91.33,20.0,60.0,N,0,0,RUNNING,Minute 26: Separation: 26.64 NM.
3,Scenario Data - OPERATION TRIDENT,27,20.0,49.0,10.83,24.72,1,0.0,20.0,140.0,25.95,91.0,20.0,60.0,N,0,0,RUNNING,Minute 27: Separation: 25.95 NM.
3,Scenario Data - OPERATION TRIDENT,28,20.0,49.33,11.18,25.66,1,0.0,20.0,140.0,25.27,90.67,20.0,60.0,N,0,0,RUNNING,Minute 28: Separation: 25.27 NM.
3,Scenario Data - OPERATION TRIDENT,29,20.0,49.67,11.53,26.59,1,0.0,20.0,140.0,24.58,90.33,20.0,60.0,N,0,0,RUNNING,Minute 29: Separation: 24.58 NM.
3,Scenario Data - OPERATION TRIDENT,30,20.0,50.0,11.87,27.54,1,0.0,20.0,140.0,23.89,90.0,20.0,60.0,N,0,0,RUNNING,Minute 30: Separation: 23.89 NM.
3,Scenario Data - OPERATION TRIDENT,31,20.0,50.33,12.2,28.48,1,0.0,20.0,140.0,23.21,89.67,20.0,60.0,N,0,0,RUNNING,Minute 31: Separation: 23.21 NM.
3,Scenario Data - OPERATION TRIDENT,32,20.0,50.67,12.53,29.42,1,0.0,20.0,140.0,22.52,89.33,20.0,60.0,N,0,0,RUNNING,Minute 32: Separation: 22.52 NM.
3,Scenario Data - OPERATION TRIDENT,33,20.0,51.0,12.86,30.37,1,0.0,20.0,140.0,21.83,89.0,20.0,60.0,N,0,0,RUNNING,Minute 33: Separation: 21.83 NM.
3,Scenario Data - OPERATION TRIDENT,34,20.0,51.33,13.18,31.31,1,0.0,20.0,140.0,21.15,88.67,20.0,60.0,N,0,0,RUNNING,Minute 34: Separation: 21.15 NM.
3,Scenario Data - OPERATION TRIDENT,35,20.0,51.67,13.5,32.26,1,0.0,20.0,140.0,20.47,88.33,20.0,60.0,N,0,0,RUNNING,Minute 35: Separation: 20.47 NM.
3,Scenario Data - OPERATION TRIDENT,36,20.0,52.0,13.81,33.21,1,0.0,20.0,140.0,19.78,88.0,20.0,60.0,N,0,0,RUNNING,Minute 36: Separation: 19.78 NM.
3,Scenario Data - OPERATION TRIDENT,37,20.0,52.33,13.81,33.21,1,0.0,20.0,140.0,20.1,87.67,20.0,60.0,Y,10,20,RUNNING,Minute 37: Separation: 20.1 NM.
3,Scenario Data - OPERATION TRIDENT,38,20.0,52.66,13.81,33.21,1,0.0,20.0,140.0,20.41,87.34,19.8,60.0,Y,9,19,RUNNING,Minute 38: Separation: 20.41 NM.
3,Scenario Data - OPERATION TRIDENT,39,20.0,52.99,13.81,33.21,1,0.0,20.0,140.0,20.72,87.01,19.6,60.0,Y,8,18,RUNNING,Minute 39: Separation: 20.72 NM.
3,Scenario Data - OPERATION TRIDENT,40,20.0,53.31,13.81,33.21,1,0.0,20.0,140.0,21.03,86.69,19.400000000000002,60.0,Y,7,17,RUNNING,Minute 40: Separation: 21.03 NM.
3,Scenario Data - OPERATION TRIDENT,41,20.0,53.63,13.81,33.21,1,0.0,20.0,140.0,21.34,86.37,19.200000000000003,60.0,Y,6,16,RUNNING,Minute 41: Separation: 21.34 NM.
3,Scenario Data - OPERATION TRIDENT,42,20.0,53.95,13.81,33.21,1,0.0,20.0,140.0,21.64,86.05,19.000000000000004,60.0,Y,5,15,RUNNING,Minute 42: Separation: 21.64 NM.
3,Scenario Data - OPERATION TRIDENT,43,20.0,54.26,13.81,33.21,1,0.0,20.0,140.0,21.94,85.74,18.800000000000004,60.0,Y,4,14,RUNNING,Minute 43: Separation: 21.94 NM.
3,Scenario Data - OPERATION TRIDENT,44,20.0,54.57,13.81,33.21,1,0.0,20.0,140.0,22.24,85.43,18.600000000000005,60.0,Y,3,13,RUNNING,Minute 44: Separation: 22.24 NM.
3,Scenario Data - OPERATION TRIDENT,45,20.0,54.88,13.81,33.21,1,0.0,20.0,140.0,22.54,85.12,18.400000000000006,60.0,Y,2,12,RUNNING,Minute 45: Separation: 22.54 NM.
3,Scenario Data - OPERATION TRIDENT,46,20.0,55.18,13.81,33.21,1,0.0,20.0,140.0,22.83,84.82,18.200000000000006,60.0,Y,1,11,RUNNING,Minute 46: Separation: 22.83 NM.
3,Scenario Data - OPERATION TRIDENT,47,20.0,55.48,13.81,33.21,1,0.0,20.0,140.0,23.12,84.52,18.000000000000007,60.0,Y,0,10,RUNNING,Minute 47: Separation: 23.12 NM.
3,Scenario Data - OPERATION TRIDENT,48,20.0,55.78,13.81,33.21,1,0.0,20.0,140.0,23.4,84.22,17.800000000000008,60.0,N,0,9,RUNNING,Minute 48: Separation: 23.4 NM.
3,Scenario Data - OPERATION TRIDENT,49,20.0,56.08,13.81,33.21,1,0.0,20.0,140.0,23.69,83.92,17.90000000000001,60.0,N,0,8,RUNNING,Minute 49: Separation: 23.69 NM.
3,Scenario Data - OPERATION TRIDENT,50,20.0,56.38,13.81,33.21,1,0.0,20.0,140.0,23.98,83.62,18.00000000000001,60.0,N,0,7,RUNNING,Minute 50: Separation: 23.98 NM.
3,Scenario Data - OPERATION TRIDENT,51,20.0,56.68,13.81,33.21,1,0.0,20.0,140.0,24.27,83.32,18.100000000000012,60.0,N,0,6,RUNNING,Minute 51: Separation: 24.27 NM.
3,Scenario Data - OPERATION TRIDENT,52,20.0,56.98,13.81,33.21,1,0.0,20.0,140.0,24.57,83.02,18.200000000000014,60.0,N,0,5,RUNNING,Minute 52: Separation: 24.57 NM.
3,Scenario Data - OPERATION TRIDENT,53,20.0,57.29,13.81,33.21,1,0.0,20.0,140.0,24.86,82.71,18.300000000000015,60.0,N,0,4,RUNNING,Minute 53: Separation: 24.86 NM.
3,Scenario Data - OPERATION TRIDENT,54,20.0,57.6,13.81,33.21,1,0.0,20.0,140.0,25.16,82.4,18.400000000000016,60.0,N,0,3,RUNNING,Minute 54: Separation: 25.16 NM.
3,Scenario Data - OPERATION TRIDENT,55,20.0,57.9,13.81,33.21,1,0.0,20.0,140.0,25.46,82.1,18.500000000000018,60.0,N,0,2,RUNNING,Minute 55: Separation: 25.46 NM.
3,Scenario Data - OPERATION TRIDENT,56,20.0,58.21,13.81,33.21,1,0.0,20.0,140.0,25.76,81.79,18.60000000000002,60.0,N,0,1,RUNNING,Minute 56: Separation: 25.76 NM.
3,Scenario Data - OPERATION TRIDENT,57,20.0,58.53,14.05,34.18,1,0.0,20.0,140.0,25.06,81.47,18.70000000000002,60.0,N,0,0,RUNNING,Minute 57: Separation: 25.06 NM.
3,Scenario Data - OPERATION TRIDENT,58,20.0,58.84,14.29,35.15,1,0.0,20.0,140.0,24.36,81.16,18.800000000000022,60.0,N,0,0,RUNNING,Minute 58: Separation: 24.36 NM.
3,Scenario Data - OPERATION TRIDENT,59,20.0,59.15,14.52,36.13,1,0.0,20.0,140.0,23.67,80.85,18.900000000000023,60.0,N,0,0,RUNNING,Minute 59: Separation: 23.67 NM.
3,Scenario Data - OPERATION TRIDENT,60,20.0,59.47,14.75,37.1,1,0.0,20.0,140.0,22.98,80.53,19.000000000000025,60.0,N,0,0,RUNNING,Minute 60: Separation: 22.98 NM.
3,Scenario Data - OPERATION TRIDENT,61,20.0,59.79,14.97,38.07,1,0.0,20.0,140.0,22.29,80.21,19.100000000000026,60.0,N,0,0,RUNNING,Minute 61: Separation: 22.29 NM.
3,Scenario Data - OPERATION TRIDENT,62,20.0,60.11,15.19,39.05,1,0.0,20.0,140.0,21.6,79.89,19.200000000000028,60.0,N,0,0,RUNNING,Minute 62: Separation: 21.6 NM.
3,Scenario Data - OPERATION TRIDENT,63,20.0,60.43,15.41,40.02,1,0.0,20.0,140.0,20.91,79.57,19.30000000000003,60.0,N,0,0,RUNNING,Minute 63: Separation: 20.91 NM.
3,Scenario Data - OPERATION TRIDENT,64,20.0,60.75,15.63,41.0,1,0.0,20.0,140.0,20.23,79.25,19.40000000000003,60.0,N,0,0,RUNNING,Minute 64: Separation: 20.23 NM.
3,Scenario Data - OPERATION TRIDENT,65,20.0,61.08,15.84,41.98,1,0.0,20.0,140.0,19.55,78.92,19.500000000000032,60.0,N,0,0,RUNNING,Minute 65: Separation: 19.55 NM.
3,Scenario Data - OPERATION TRIDENT,66,20.0,61.41,15.84,41.98,1,0.0,20.0,140.0,19.87,78.59,19.600000000000033,60.0,Y,10,20,RUNNING,Minute 66: Separation: 19.87 NM.
3,Scenario Data - OPERATION TRIDENT,67,20.0,61.73,15.84,41.98,1,0.0,20.0,140.0,20.18,78.27,19.400000000000034,60.0,Y,9,19,RUNNING,Minute 67: Separation: 20.18 NM.
3,Scenario Data - OPERATION TRIDENT,68,20.0,62.05,15.84,41.98,1,0.0,20.0,140.0,20.5,77.95,19.200000000000035,60.0,Y,8,18,RUNNING,Minute 68: Separation: 20.5 NM.
3,Scenario Data - OPERATION TRIDENT,69,20.0,62.37,15.84,41.98,1,0.0,20.0,140.0,20.81,77.63,19.000000000000036,60.0,Y,7,17,RUNNING,Minute 69: Separation: 20.81 NM.
3,Scenario Data - OPERATION TRIDENT,70,20.0,62.68,15.84,41.98,1,0.0,20.0,140.0,21.11,77.32,18.800000000000036,60.0,Y,6,16,RUNNING,Minute 70: Separation: 21.11 NM.
3,Scenario Data - OPERATION TRIDENT,71,20.0,62.99,15.84,41.98,1,0.0,20.0,140.0,21.42,77.01,18.600000000000037,60.0,Y,5,15,RUNNING,Minute 71: Separation: 21.42 NM.
3,Scenario Data - OPERATION TRIDENT,72,20.0,63.3,15.84,41.98,1,0.0,20.0,140.0,21.72,76.7,18.400000000000038,60.0,Y,4,14,RUNNING,Minute 72: Separation: 21.72 NM.
3,Scenario Data - OPERATION TRIDENT,73,20.0,63.6,15.84,41.98,1,0.0,20.0,140.0,22.02,76.4,18.20000000000004,60.0,Y,3,13,RUNNING,Minute 73: Separation: 22.02 NM.
3,Scenario Data - OPERATION TRIDENT,74,20.0,63.9,15.84,41.98,1,0.0,20.0,140.0,22.31,76.1,18.00000000000004,60.0,Y,2,12,RUNNING,Minute 74: Separation: 22.31 NM.
3,Scenario Data - OPERATION TRIDENT,75,20.0,64.2,15.84,41.98,1,0.0,20.0,140.0,22.6,75.8,17.80000000000004,60.0,Y,1,11,RUNNING,Minute 75: Separation: 22.6 NM.
3,Scenario Data - OPERATION TRIDENT,76,20.0,64.49,15.84,41.98,1,0.0,20.0,140.0,22.89,75.51,17.60000000000004,60.0,Y,0,10,RUNNING,Minute 76: Separation: 22.89 NM.
3,Scenario Data - OPERATION TRIDENT,77,20.0,64.78,15.84,41.98,1,0.0,20.0,140.0,23.18,75.22,17.40000000000004,60.0,N,0,9,RUNNING,Minute 77: Separation: 23.18 NM.
3,Scenario Data - OPERATION TRIDENT,78,20.0,65.07,15.84,41.98,1,0.0,20.0,140.0,23.46,74.93,17.500000000000043,60.0,N,0,8,RUNNING,Minute 78: Separation: 23.46 NM.
3,Scenario Data - OPERATION TRIDENT,79,20.0,65.36,15.84,41.98,1,0.0,20.0,140.0,23.75,74.64,17.600000000000044,60.0,N,0,7,RUNNING,Minute 79: Separation: 23.75 NM.
3,Scenario Data - OPERATION TRIDENT,80,20.0,65.66,15.84,41.98,1,0.0,20.0,140.0,24.04,74.34,17.700000000000045,60.0,N,0,6,RUNNING,Minute 80: Separation: 24.04 NM.
3,Scenario Data - OPERATION TRIDENT,81,20.0,65.96,15.84,41.98,1,0.0,20.0,140.0,24.33,74.04,17.800000000000047,60.0,N,0,5,RUNNING,Minute 81: Separation: 24.33 NM.
3,Scenario Data - OPERATION TRIDENT,82,20.0,66.25,15.84,41.98,1,0.0,20.0,140.0,24.63,73.75,17.90000000000005,60.0,N,0,4,RUNNING,Minute 82: Separation: 24.63 NM.
3,Scenario Data - OPERATION TRIDENT,83,20.0,66.55,15.84,41.98,1,0.0,20.0,140.0,24.92,73.45,18.00000000000005,60.0,N,0,3,RUNNING,Minute 83: Separation: 24.92 NM.
3,Scenario Data - OPERATION TRIDENT,84,20.0,66.86,15.84,41.98,1,0.0,20.0,140.0,25.22,73.14,18.10000000000005,60.0,N,0,2,RUNNING,Minute 84: Separation: 25.22 NM.
3,Scenario Data - OPERATION TRIDENT,85,20.0,67.16,15.84,41.98,1,0.0,20.0,140.0,25.52,72.84,18.200000000000053,60.0,N,0,1,RUNNING,Minute 85: Separation: 25.52 NM.
3,Scenario Data - OPERATION TRIDENT,86,20.0,67.46,16.0,42.97,1,0.0,20.0,140.0,24.82,72.54,18.300000000000054,60.0,N,0,0,RUNNING,Minute 86: Separation: 24.82 NM.
3,Scenario Data - OPERATION TRIDENT,87,20.0,67.77,16.16,43.95,1,0.0,20.0,140.0,24.12,72.23,18.400000000000055,60.0,N,0,0,RUNNING,Minute 87: Separation: 24.12 NM.
3,Scenario Data - OPERATION TRIDENT,88,20.0,68.08,16.32,44.94,1,0.0,20.0,140.0,23.43,71.92,18.500000000000057,60.0,N,0,0,RUNNING,Minute 88: Separation: 23.43 NM.
3,Scenario Data - OPERATION TRIDENT,89,20.0,68.39,16.47,45.93,1,0.0,20.0,140.0,22.74,71.61,18.60000000000006,60.0,N,0,0,RUNNING,Minute 89: Separation: 22.74 NM.
3,Scenario Data - OPERATION TRIDENT,90,20.0,68.7,16.63,46.92,1,0.0,20.0,140.0,22.04,71.3,18.70000000000006,60.0,N,0,0,RUNNING,Minute 90: Separation: 22.04 NM.
3,Scenario Data - OPERATION TRIDENT,91,20.0,69.01,16.78,47.9,1,0.0,20.0,140.0,21.35,70.99,18.80000000000006,60.0,N,0,0,RUNNING,Minute 91: Separation: 21.35 NM.
3,Scenario Data - OPERATION TRIDENT,92,20.0,69.33,16.93,48.89,1,0.0,20.0,140.0,20.66,70.67,18.900000000000063,60.0,N,0,0,RUNNING,Minute 92: Separation: 20.66 NM.
3,Scenario Data - OPERATION TRIDENT,93,20.0,69.65,17.07,49.88,1,0.0,20.0,140.0,19.98,70.35,19.000000000000064,60.0,N,0,0,RUNNING,Minute 93: Separation: 19.98 NM.
3,Scenario Data - OPERATION TRIDENT,94,20.0,69.96,17.22,50.87,1,0.0,20.0,140.0,19.29,70.04,19.100000000000065,60.0,Y,10,0,RUNNING,Minute 94: Separation: 19.29 NM.
3,Scenario Data - OPERATION TRIDENT,95,20.0,70.28,17.36,51.86,1,0.0,20.0,140.0,18.6,69.72,18.900000000000066,60.0,Y,9,0,RUNNING,Minute 95: Separation: 18.6 NM.
3,Scenario Data - OPERATION TRIDENT,96,20.0,70.59,17.5,52.85,1,0.0,20.0,140.0,17.91,69.41,18.700000000000067,60.0,Y,8,0,RUNNING,Minute 96: Separation: 17.91 NM.
3,Scenario Data - OPERATION TRIDENT,97,20.0,70.9,17.64,53.84,1,0.0,20.0,140.0,17.22,69.1,18.500000000000068,60.0,Y,7,0,RUNNING,Minute 97: Separation: 17.22 NM.
3,Scenario Data - OPERATION TRIDENT,98,20.0,71.2,17.77,54.83,1,0.0,20.0,140.0,16.52,68.8,18.300000000000068,60.0,Y,6,0,RUNNING,Minute 98: Separation: 16.52 NM.
3,Scenario Data - OPERATION TRIDENT,99,20.0,71.51,17.9,55.82,1,0.0,20.0,140.0,15.82,68.49,18.10000000000007,60.0,Y,5,0,RUNNING,Minute 99: Separation: 15.82 NM.
3,Scenario Data - OPERATION TRIDENT,100,20.0,71.8,18.03,56.82,1,0.0,20.0,140.0,15.12,68.2,17.90000000000007,60.0,Y,4,0,RUNNING,Minute 100: Separation: 15.12 NM.
3,Scenario Data - OPERATION TRIDENT,101,20.0,72.1,18.16,57.81,1,0.0,20.0,140.0,14.41,67.9,17.70000000000007,60.0,Y,3,0,RUNNING,Minute 101: Separation: 14.41 NM.
3,Scenario Data - OPERATION TRIDENT,102,20.0,72.39,18.29,58.8,1,0.0,20.0,140.0,13.7,67.61,17.50000000000007,60.0,Y,2,0,RUNNING,Minute 102: Separation: 13.7 NM.
3,Scenario Data - OPERATION TRIDENT,103,20.0,72.68,18.41,59.79,1,0.0,20.0,140.0,12.98,67.32,17.30000000000007,60.0,Y,1,0,RUNNING,Minute 103: Separation: 12.98 NM.
3,Scenario Data - OPERATION TRIDENT,104,20.0,72.96,18.53,60.79,1,0.0,20.0,140.0,12.27,67.04,17.100000000000072,60.0,Y,0,0,RUNNING,Minute 104: Separation: 12.27 NM.
3,Scenario Data - OPERATION TRIDENT,105,20.0,73.25,18.65,61.78,1,0.0,20.0,140.0,11.55,66.75,16.900000000000073,60.0,N,0,0,RUNNING,Minute 105: Separation: 11.55 NM.
3,Scenario Data - OPERATION TRIDENT,106,20.0,73.53,18.76,62.77,1,0.0,20.0,140.0,10.83,66.47,17.000000000000075,60.0,N,0,0,RUNNING,Minute 106: Separation: 10.83 NM.
3,Scenario Data - OPERATION TRIDENT,107,20.0,73.81,18.87,63.77,1,0.0,20.0,140.0,10.11,66.19,17.100000000000076,60.0,N,0,0,RUNNING,Minute 107: Separation: 10.11 NM.
