scenario_id,scenario_name,minute,ship_x_nm,ship_y_nm,torpedo_x_nm,torpedo_y_nm,selected_safe_zone_id,selected_safe_zone_bearing,safe_zone_x_nm,safe_zone_y_nm,separation_nm,distance_to_safe_zone_nm,ship_speed_knots,torpedo_speed_knots,result,message
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,0,20.0,40.0,0.0,0.0,1,0.0,20.0,90.0,44.72,50.0,40.0,30.0,RUNNING,Minute 0: Simulation started. Best safe zone selected: Zone 1 at bearing 0.0°.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,1,20.0,40.67,0.22,0.45,1,0.0,20.0,90.0,44.82,49.33,40.0,30.0,RUNNING,Minute 1: Separation: 44.82 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,2,20.0,41.33,0.44,0.9,1,0.0,20.0,90.0,44.92,48.67,40.0,30.0,RUNNING,Minute 2: Separation: 44.92 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,3,20.0,42.0,0.65,1.35,1,0.0,20.0,90.0,45.02,48.0,40.0,30.0,RUNNING,Minute 3: Separation: 45.02 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,4,20.0,42.67,0.87,1.8,1,0.0,20.0,90.0,45.12,47.33,40.0,30.0,RUNNING,Minute 4: Separation: 45.12 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,5,20.0,43.33,1.07,2.26,1,0.0,20.0,90.0,45.23,46.67,40.0,30.0,RUNNING,Minute 5: Separation: 45.23 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,6,20.0,44.0,1.28,2.71,1,0.0,20.0,90.0,45.33,46.0,40.0,30.0,RUNNING,Minute 6: Separation: 45.33 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,7,20.0,44.67,1.48,3.17,1,0.0,20.0,90.0,45.44,45.33,40.0,30.0,RUNNING,Minute 7: Separation: 45.44 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,8,20.0,45.33,1.69,3.63,1,0.0,20.0,90.0,45.55,44.67,40.0,30.0,RUNNING,Minute 8: Separation: 45.55 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,9,20.0,46.0,1.88,4.09,1,0.0,20.0,90.0,45.66,44.0,40.0,30.0,RUNNING,Minute 9: Separation: 45.66 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,10,20.0,46.67,2.08,4.55,1,0.0,20.0,90.0,45.77,43.33,40.0,30.0,RUNNING,Minute 10: Separation: 45.77 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,11,20.0,47.33,2.27,5.01,1,0.0,20.0,90.0,45.89,42.67,40.0,30.0,RUNNING,Minute 11: Separation: 45.89 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,12,20.0,48.0,2.46,5.47,1,0.0,20.0,90.0,46.0,42.0,40.0,30.0,RUNNING,Minute 12: Separation: 46.0 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,13,20.0,48.67,2.65,5.93,1,0.0,20.0,90.0,46.12,41.33,40.0,30.0,RUNNING,Minute 13: Separation: 46.12 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,14,20.0,49.33,2.84,6.4,1,0.0,20.0,90.0,46.24,40.67,40.0,30.0,RUNNING,Minute 14: Separation: 46.24 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,15,20.0,50.0,3.02,6.86,1,0.0,20.0,90.0,46.36,40.0,40.0,30.0,RUNNING,Minute 15: Separation: 46.36 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,16,20.0,50.67,3.2,7.33,1,0.0,20.0,90.0,46.48,39.33,40.0,30.0,RUNNING,Minute 16: Separation: 46.48 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,17,20.0,51.33,3.38,7.8,1,0.0,20.0,90.0,46.6,38.67,40.0,30.0,RUNNING,Minute 17: Separation: 46.6 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,18,20.0,52.0,3.56,8.26,1,0.0,20.0,90.0,46.73,38.0,40.0,30.0,RUNNING,Minute 18: Separation: 46.73 NM.
4,Scenario Data - OPERATION SAPPHIRE GAUNTLET,19,20.0,52.67,3.73,8.73,1,0.0,20.0,90.0,46.85,37.33,40.0,30.0,RUNNING,Minute 19: Separation: 46.85 NM.
